gene_id state1_rep1 state1_rep2 state2_rep1 state2_rep2
ECDH10B_0421 403 1233 3391 1120
ECDH10B_0422 32 42 188 58
ECDH10B_0423 59 290 219 153
ECDH10B_0424 117 107 1039 356
ECDH10B_0425 216 715 2222 776
ECDH10B_0426 749 2073 4908 2225
ECDH10B_0427 619 868 2651 2215
ECDH10B_0428 606 1284 2227 1350
ECDH10B_0429 2228 1352 1794 850
ECDH10B_0430 682 1654 2228 1575
ECDH10B_0431 182 175 459 241
ECDH10B_0432 68 71 201 99
ECDH10B_0433 282 499 1766 1166
ECDH10B_0434 446 1269 1327 698
ECDH10B_0435 51 122 177 134
ECDH10B_0436 250 367 461 224
ECDH10B_0437 49 174 265 135
ECDH10B_0439 184 264 546 257
ECDH10B_0440 113 428 1140 565
ECDH10B_0441 786 642 1046 541
ECDH10B_0442 5 1 54 23
ECDH10B_0443 15 71 127 18
ECDH10B_0444 119 414 433 254
ECDH10B_0445 132 295 345 233
ECDH10B_0446 160 186 359 289
ECDH10B_0447 43 94 95 118
ECDH10B_0448 174 212 434 165
ECDH10B_0449 637 644 1089 667
ECDH10B_0450 151 315 664 211
ECDH10B_0451 204 367 659 368
ECDH10B_0452 86 242 379 179
ECDH10B_0453 171 291 520 339
ECDH10B_0454 83 209 477 210
ECDH10B_0455 77 45 60 26
ECDH10B_0456 45 121 99 42
ECDH10B_0457 17 77 73 0
ECDH10B_0458 18 101 87 11
ECDH10B_0459 142 192 238 152
ECDH10B_0460 0 1 0 0
ECDH10B_0461 13 0 42 11
ECDH10B_0462 619 449 1377 769
ECDH10B_0463 7 49 69 40
ECDH10B_0464 0 0 18 33
ECDH10B_0465 0 0 31 0
ECDH10B_0466 0 0 0 0
ECDH10B_0467 0 0 0 1
ECDH10B_0468 0 50 11 26
ECDH10B_0469 0 0 62 0
ECDH10B_0470 15 23 58 47
ECDH10B_0471 26 106 141 104
ECDH10B_0472 0 68 35 55
ECDH10B_0473 0 0 16 0
ECDH10B_0474 10 0 15 7
ECDH10B_0475 0 0 36 5
ECDH10B_0476 0 15 5 12
ECDH10B_0477 16 94 120 47
ECDH10B_0478 121 260 733 325
ECDH10B_0479 0 78 305 126
ECDH10B_0480 113 374 754 186
ECDH10B_0481 813 1035 2641 1256
ECDH10B_0482 346 591 1078 527
ECDH10B_0483 64 273 401 275
ECDH10B_0484 62 114 165 66
ECDH10B_0485 542 741 1544 798
ECDH10B_0486 0 0 35 0
ECDH10B_0487 0 0 9 9
ECDH10B_0488 43 71 89 21
ECDH10B_0489 11 7 11 22
ECDH10B_0490 0 0 9 10
ECDH10B_0491 0 0 77 29
ECDH10B_0492 30 219 291 129
ECDH10B_0493 167 725 1324 871
ECDH10B_0494 0 8 13 0
ECDH10B_0495 5 0 33 0
ECDH10B_0496 1 1 1 1
ECDH10B_0497 0 37 53 6
ECDH10B_0498 21 143 92 71
ECDH10B_0499 51 131 88 106
ECDH10B_0500 27 23 52 0
ECDH10B_0501 29 9 41 37
ECDH10B_0502 79 102 219 215
ECDH10B_0503 0 0 14 0
ECDH10B_0504 0 0 14 0
ECDH10B_0505 0 0 9 0
ECDH10B_0506 0 0 8 0
ECDH10B_0507 0 0 0 0
ECDH10B_0508 0 23 11 0
ECDH10B_0509 2 35 115 60
ECDH10B_0510 0 0 0 0
ECDH10B_0511 0 0 0 0
ECDH10B_0512 0 0 0 0
ECDH10B_0513 0 0 0 0
ECDH10B_0514 0 0 0 0
ECDH10B_0515 0 0 0 0
ECDH10B_0516 0 0 0 0
ECDH10B_0517 0 0 0 0
ECDH10B_0518 0 0 0 0
ECDH10B_0519 0 0 0 0
ECDH10B_0520 0 0 0 0
ECDH10B_0521 0 0 0 0
ECDH10B_0522 0 0 0 0
ECDH10B_0523 0 0 0 0
ECDH10B_0524 0 0 0 0
ECDH10B_0525 0 0 0 0
ECDH10B_0526 0 0 0 0
ECDH10B_0527 0 0 0 0
ECDH10B_0528 0 0 0 0
ECDH10B_0529 0 0 0 0
ECDH10B_0530 0 0 0 0
ECDH10B_0531 0 0 0 0
ECDH10B_0532 0 0 0 0
ECDH10B_0533 0 0 0 0
ECDH10B_0534 0 0 1 0
ECDH10B_0535 0 0 0 0
ECDH10B_0536 0 0 0 0
ECDH10B_0537 0 0 0 0
ECDH10B_0538 0 0 0 0
ECDH10B_0539 0 0 1 0
ECDH10B_0540 0 0 0 0
ECDH10B_0541 0 0 0 0
ECDH10B_0542 0 0 0 0
ECDH10B_0543 0 0 0 0
ECDH10B_0544 0 0 0 0
ECDH10B_0545 0 0 0 0
ECDH10B_0546 0 0 0 0
ECDH10B_0547 0 0 0 0
ECDH10B_0548 0 0 0 0
ECDH10B_0549 0 0 0 0
ECDH10B_0550 0 0 0 0
ECDH10B_0551 0 0 0 0
ECDH10B_0552 0 0 0 0
ECDH10B_0553 0 0 0 0
ECDH10B_0554 0 2 0 2
ECDH10B_0555 0 0 0 0
ECDH10B_0556 0 0 1 0
ECDH10B_0557 0 0 0 0
